country,n_players,pct_of_players_with_country
USA,225,8.51
Italy,205,7.76
France,202,7.64
Russia,137,5.18
Japan,124,4.69
Germany,121,4.58
Spain,98,3.71
Argentina,98,3.71
Australia,92,3.48
United Kingdom,85,3.22
Czech Republic,71,2.69
India,63,2.38
China,63,2.38
Romania,62,2.35
Brazil,58,2.19
Switzerland,54,2.04
Netherlands,49,1.85
Ukraine,41,1.55
Serbia,39,1.48
Slovakia,36,1.36
Poland,36,1.36
Austria,31,1.17
Belgium,29,1.1
Canada,29,1.1
Turkey,27,1.02
South Korea,27,1.02
Bulgaria,26,0.98
Croatia,26,0.98
Portugal,25,0.95
Sweden,21,0.79
Belarus,20,0.76
Greece,20,0.76
Chinese Taipei,20,0.76
Hungary,19,0.72
Thailand,19,0.72
Kazakhstan,19,0.72
Slovenia,17,0.64
Colombia,16,0.61
Mexico,16,0.61
Egypt,15,0.57
Chile,15,0.57
Israel,14,0.53
Denmark,12,0.45
Georgia,12,0.45
Estonia,11,0.42
Peru,11,0.42
Latvia,10,0.38
Bosnia & Herzegovina,9,0.34
South Africa,8,0.3
Hong Kong,8,0.3
Lithuania,8,0.3
Norway,8,0.3
Finland,8,0.3
New Zealand,7,0.26
Uruguay,7,0.26
Cyprus,6,0.23
Ecuador,6,0.23
Uzbekistan,6,0.23
Tunisia,6,0.23
Bolivia,6,0.23
North Macedonia,5,0.19
Algeria,5,0.19
Paraguay,5,0.19
Morocco,5,0.19
Vietnam,4,0.15
Luxembourg,4,0.15
Indonesia,3,0.11
Moldova,3,0.11
Monaco,3,0.11
Venezuela,3,0.11
Ireland,3,0.11
Dominican Republic,3,0.11
Lebanon,2,0.08
Jamaica,2,0.08
Nigeria,2,0.08
Philippines,2,0.08
Burundi,2,0.08
Iran,2,0.08
Jordan,2,0.08
Malaysia,2,0.08
Kyrgyzstan,2,0.08
Zimbabwe,2,0.08
Qatar,1,0.04
Syria,1,0.04
Guadeloupe,1,0.04
New Caledonia,1,0.04
Costa Rica,1,0.04
Malta,1,0.04
Liechtenstein,1,0.04
Pakistan,1,0.04
Singapore,1,0.04
Ivory Coast,1,0.04
El Salvador,1,0.04
Andorra,1,0.04
Nepal,1,0.04
Antigua and Barbuda,1,0.04
Barbados,1,0.04
Haiti,1,0.04
Senegal,1,0.04
Bahamas,1,0.04
